benchmark,tier,method,seed,instance_id,eval_mode,solved,steps,optimal_steps,rollouts_to_solve,final_entropy,provenance
tangram,easy,cnn,0,easy_fixed,greedy,1,32.0,,,1.1525,trusted
tangram,easy,cnn,0,easy_fixed,stochastic,1,32.5,,,1.1525,trusted
tangram,easy,cnn,1,easy_fixed,greedy,1,32.0,,,1.1640,trusted
tangram,easy,cnn,1,easy_fixed,stochastic,1,32.1,,,1.1640,trusted
tangram,easy,cnn,2,easy_fixed,greedy,1,32.0,,,1.0279,trusted
tangram,easy,cnn,2,easy_fixed,stochastic,1,32.5,,,1.0279,trusted
tangram,easy,gnn,0,easy_fixed,greedy,0,,,,2.2053,trusted
tangram,easy,gnn,0,easy_fixed,stochastic,1,102.0,,,2.2053,trusted
tangram,easy,gnn,1,easy_fixed,greedy,1,32.0,,,1.3172,trusted
tangram,easy,gnn,1,easy_fixed,stochastic,1,74.0,,,1.3172,trusted
tangram,easy,gnn,2,easy_fixed,greedy,0,,,,1.3061,trusted
tangram,easy,gnn,2,easy_fixed,stochastic,1,81.6,,,1.3061,trusted
tangram,easy,hrep,0,easy_fixed,greedy,1,32.0,,,1.0010,trusted
tangram,easy,hrep,0,easy_fixed,stochastic,1,32.3,,,1.0010,trusted
tangram,easy,hrep,1,easy_fixed,greedy,1,32.0,,,1.0811,trusted
tangram,easy,hrep,1,easy_fixed,stochastic,1,32.3,,,1.0811,trusted
tangram,easy,hrep,2,easy_fixed,greedy,1,32.0,,,1.3728,trusted
tangram,easy,hrep,2,easy_fixed,stochastic,1,32.2,,,1.3728,trusted
tangram,easy,mlp,0,easy_fixed,greedy,1,32.0,,,1.1261,trusted
tangram,easy,mlp,0,easy_fixed,stochastic,1,32.1,,,1.1261,trusted
tangram,easy,mlp,1,easy_fixed,greedy,1,32.0,,,1.1316,trusted
tangram,easy,mlp,1,easy_fixed,stochastic,1,32.0,,,1.1316,trusted
tangram,easy,mlp,2,easy_fixed,greedy,1,32.0,,,1.6923,trusted
tangram,easy,mlp,2,easy_fixed,stochastic,1,32.5,,,1.6923,trusted
tangram,easy,vrep,0,easy_fixed,greedy,1,34.0,,,1.8396,trusted
tangram,easy,vrep,0,easy_fixed,stochastic,1,71.4,,,1.8396,trusted
tangram,easy,vrep,1,easy_fixed,greedy,1,32.0,,,1.1205,trusted
tangram,easy,vrep,1,easy_fixed,stochastic,1,32.3,,,1.1205,trusted
tangram,easy,vrep,2,easy_fixed,greedy,1,32.0,,,1.2893,trusted
tangram,easy,vrep,2,easy_fixed,stochastic,1,32.4,,,1.2893,trusted
